model,isFree
gemma4:31b,true
nemotron-3-super,true
nemotron-3-ultra,true
gpt-oss:20b,false
minimax-m2.1,false
minimax-m2.7,false
minimax-m2.5,true
mistral-large-3:675b,false
glm-5,false
deepseek-v4-flash,false
cogito-2.1:671b,true
qwen3-vl:235b,true
minimax-m2,true
gemma3:4b,true
gemma3:12b,true
kimi-k2:1t,false
kimi-k2.6,false
kimi-k2-thinking,false
qwen3-coder-next,true
deepseek-v3.2,false
deepseek-v3.1:671b,false
devstral-small-2:24b,true
kimi-k2.5,false
qwen3-next:80b,true
qwen3-vl:235b-instruct,true
ministral-3:8b,true
ministral-3:14b,true
gemini-3-flash-preview,false
qwen3.5:397b,false
minimax-m3,true
rnj-1:8b,true
glm-4.6,true
glm-4.7,true
glm-5.1,false
deepseek-v4-pro,false
gpt-oss:120b,true
nemotron-3-nano:30b,true
ministral-3:3b,true
qwen3-coder:480b,true
devstral-2:123b,true
gemma3:27b,true
